batch=8, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.11ms, tilelang_time=0.05ms, triton_time=0.17ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.17ms, tilelang_time=0.11ms, triton_time=0.19ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.56ms, tilelang_time=0.19ms, triton_time=0.18ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.21ms, tilelang_time=0.08ms, triton_time=0.28ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.38ms, tilelang_time=0.21ms, triton_time=0.29ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=1.06ms, tilelang_time=0.40ms, triton_time=0.33ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.44ms, tilelang_time=0.14ms, triton_time=0.54ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.83ms, tilelang_time=0.40ms, triton_time=0.56ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=2.07ms, tilelang_time=0.64ms, triton_time=0.64ms
batch=1, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.03ms, tilelang_time=0.03ms, triton_time=0.19ms
batch=2, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.05ms, tilelang_time=0.03ms, triton_time=0.19ms
batch=4, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.07ms, tilelang_time=0.04ms, triton_time=0.20ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.12ms, tilelang_time=0.05ms, triton_time=0.17ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.16ms, tilelang_time=0.11ms, triton_time=0.18ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.54ms, tilelang_time=0.20ms, triton_time=0.17ms
batch=1, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.06ms, tilelang_time=0.04ms, triton_time=0.19ms
batch=2, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.06ms, tilelang_time=0.04ms, triton_time=0.19ms
batch=4, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.11ms, tilelang_time=0.06ms, triton_time=0.19ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.26ms, tilelang_time=0.08ms, triton_time=0.27ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.37ms, tilelang_time=0.21ms, triton_time=0.29ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=1.01ms, tilelang_time=0.43ms, triton_time=0.33ms
batch=1, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.08ms, tilelang_time=0.04ms, triton_time=0.18ms
batch=2, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.14ms, tilelang_time=0.06ms, triton_time=0.20ms
batch=4, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.19ms, tilelang_time=0.11ms, triton_time=0.27ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.41ms, tilelang_time=0.15ms, triton_time=0.55ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.53ms, tilelang_time=0.40ms, triton_time=0.56ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=2.12ms, tilelang_time=0.61ms, triton_time=0.63ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=65536, dim=128, dim_v=128, block_size=32, dense_time=4.91ms, tilelang_time=1.59ms, triton_time=1.28ms
batch=1, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.03ms, tilelang_time=0.03ms, triton_time=0.21ms
batch=2, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.03ms, tilelang_time=0.03ms, triton_time=0.19ms
batch=4, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.07ms, tilelang_time=0.04ms, triton_time=0.19ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.12ms, tilelang_time=0.05ms, triton_time=0.17ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.17ms, tilelang_time=0.11ms, triton_time=0.18ms
