batch=8, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.07ms, tilelang_time=0.04ms, triton_time=0.11ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.14ms, tilelang_time=0.07ms, triton_time=0.11ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.40ms, tilelang_time=0.13ms, triton_time=0.12ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.14ms, tilelang_time=0.07ms, triton_time=0.20ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.25ms, tilelang_time=0.12ms, triton_time=0.20ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.91ms, tilelang_time=0.24ms, triton_time=0.24ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.25ms, tilelang_time=0.12ms, triton_time=0.40ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.51ms, tilelang_time=0.24ms, triton_time=0.40ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=1.82ms, tilelang_time=0.49ms, triton_time=0.46ms
batch=1, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.02ms, tilelang_time=0.03ms, triton_time=0.12ms
batch=2, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.03ms, tilelang_time=0.02ms, triton_time=0.12ms
batch=4, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.05ms, tilelang_time=0.02ms, triton_time=0.12ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.07ms, tilelang_time=0.04ms, triton_time=0.11ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.13ms, tilelang_time=0.07ms, triton_time=0.11ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.42ms, tilelang_time=0.13ms, triton_time=0.12ms
batch=1, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.03ms, tilelang_time=0.03ms, triton_time=0.12ms
batch=2, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.05ms, tilelang_time=0.03ms, triton_time=0.12ms
batch=4, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.08ms, tilelang_time=0.04ms, triton_time=0.12ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.14ms, tilelang_time=0.07ms, triton_time=0.20ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.26ms, tilelang_time=0.12ms, triton_time=0.21ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.89ms, tilelang_time=0.25ms, triton_time=0.24ms
batch=1, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.05ms, tilelang_time=0.04ms, triton_time=0.12ms
batch=2, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.09ms, tilelang_time=0.04ms, triton_time=0.12ms
batch=4, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.16ms, tilelang_time=0.07ms, triton_time=0.21ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.27ms, tilelang_time=0.12ms, triton_time=0.39ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.52ms, tilelang_time=0.25ms, triton_time=0.40ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=1.54ms, tilelang_time=0.48ms, triton_time=0.45ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=65536, dim=128, dim_v=128, block_size=32, dense_time=3.71ms, tilelang_time=0.90ms, triton_time=0.90ms
batch=1, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.03ms, tilelang_time=0.03ms, triton_time=0.12ms
batch=2, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.03ms, tilelang_time=0.03ms, triton_time=0.12ms
batch=4, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.05ms, tilelang_time=0.02ms, triton_time=0.12ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.07ms, tilelang_time=0.04ms, triton_time=0.11ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.14ms, tilelang_time=0.07ms, triton_time=0.11ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.41ms, tilelang_time=0.13ms, triton_time=0.12ms
batch=1, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.08ms, tilelang_time=0.05ms, triton_time=0.12ms
batch=2, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.05ms, tilelang_time=0.03ms, triton_time=0.12ms
batch=4, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.08ms, tilelang_time=0.04ms, triton_time=0.12ms
